X X-Ray Coordinate,Y X-Ray Coordinate,Z X-Ray Coordinate,X Pixel Index,Y Pixel Index,Charge Fraction
5,6,2,0,0,8.4488e-08
5,6,3,0,0,1.24125e-07
5,6,4,0,0,1.60706e-07
5,6,5,0,0,1.93329e-07
5,6,6,0,0,2.21193e-07
5,6,7,0,0,2.43609e-07
5,6,8,0,0,2.60027e-07
5,6,9,0,0,2.70043e-07
5,6,10,0,0,2.73409e-07
5,7,0,0,0,0
5,7,1,0,0,3.71969e-08
5,7,2,0,0,7.34779e-08
5,7,3,0,0,1.0795e-07
5,7,4,0,0,1.39763e-07
5,7,5,0,0,1.68135e-07
5,7,6,0,0,1.92368e-07
5,7,7,0,0,2.11863e-07
5,7,8,0,0,2.26142e-07
5,7,9,0,0,2.34852e-07
5,7,10,0,0,2.37779e-07
5,8,0,0,0,0
5,8,1,0,0,3.22944e-08
5,8,2,0,0,6.37936e-08
5,8,3,0,0,9.3722e-08
5,8,4,0,0,1.21343e-07
5,8,5,0,0,1.45976e-07
5,8,6,0,0,1.67014e-07
5,8,7,0,0,1.8394e-07
5,8,8,0,0,1.96337e-07
5,8,9,0,0,2.03899e-07
5,8,10,0,0,2.06441e-07
5,9,0,0,0,0
5,9,1,0,0,2.79903e-08
5,9,2,0,0,5.52914e-08
5,9,3,0,0,8.1231e-08
5,9,4,0,0,1.0517e-07
5,9,5,0,0,1.2652e-07
5,9,6,0,0,1.44755e-07
5,9,7,0,0,1.59425e-07
5,9,8,0,0,1.70169e-07
5,9,9,0,0,1.76724e-07
5,9,10,0,0,1.78927e-07
5,10,0,0,0,0
5,10,1,0,0,2.42184e-08
5,10,2,0,0,4.78405e-08
5,10,3,0,0,7.02846e-08
5,10,4,0,0,9.09981e-08
5,10,5,0,0,1.09471e-07
5,10,6,0,0,1.25248e-07
5,10,7,0,0,1.37941e-07
5,10,8,0,0,1.47238e-07
5,10,9,0,0,1.52909e-07
5,10,10,0,0,1.54815e-07
6,0,0,0,0,0
6,0,1,0,0,8.28912e-08
6,0,2,0,0,1.63741e-07
6,0,3,0,0,2.40559e-07
6,0,4,0,0,3.11454e-07
6,0,5,0,0,3.7468e-07
6,0,6,0,0,4.2868e-07
6,0,7,0,0,4.72125e-07
6,0,8,0,0,5.03944e-07
6,0,9,0,0,5.23354e-07
6,0,10,0,0,5.29878e-07
6,1,0,0,0,0
6,1,1,0,0,7.28672e-08
6,1,2,0,0,1.4394e-07
6,1,3,0,0,2.11469e-07
6,1,4,0,0,2.73791e-07
6,1,5,0,0,3.2937e-07
6,1,6,0,0,3.7684e-07
6,1,7,0,0,4.15031e-07
6,1,8,0,0,4.43002e-07
6,1,9,0,0,4.60065e-07
6,1,10,0,0,4.658e-07
6,2,0,0,0,0
6,2,1,0,0,6.3945e-08
6,2,2,0,0,1.26316e-07
6,2,3,0,0,1.85576e-07
6,2,4,0,0,2.40266e-07
6,2,5,0,0,2.89041e-07
6,2,6,0,0,3.30698e-07
6,2,7,0,0,3.64213e-07
6,2,8,0,0,3.88759e-07
6,2,9,0,0,4.03733e-07
6,2,10,0,0,4.08766e-07
6,3,0,0,0,0
6,3,1,0,0,5.60187e-08
6,3,2,0,0,1.10658e-07
6,3,3,0,0,1.62573e-07
6,3,4,0,0,2.10484e-07
6,3,5,0,0,2.53213e-07
6,3,6,0,0,2.89707e-07
6,3,7,0,0,3.19067e-07
6,3,8,0,0,3.40571e-07
6,3,9,0,0,3.53688e-07
6,3,10,0,0,3.58097e-07
6,4,0,0,0,0
6,4,1,0,0,4.89906e-08
6,4,2,0,0,9.67748e-08
6,4,3,0,0,1.42176e-07
6,4,4,0,0,1.84077e-07
6,4,5,0,0,2.21445e-07
6,4,6,0,0,2.5336e-07
6,4,7,0,0,2.79036e-07
6,4,8,0,0,2.97842e-07
6,4,9,0,0,3.09314e-07
6,4,10,0,0,3.1317e-07
6,5,0,0,0,0
6,5,1,0,0,4.27706e-08
6,5,2,0,0,8.4488e-08
